symbol,accuracy,avg_pnl,avg_pnl_pct,cagr,confidence_buckets,f1_score,gross_loss,gross_profit,loss_count,max_drawdown,optimal_confidence_threshold,precision,precision_buy,prediction_counts,profit_factor,recall,sharpe_ratio,total_trades,trade_expectancy,train_accuracy,train_test_gap,win_count,win_rate,window_index
RELIANCE.NS,0.4065040650406504,-245.35915466307415,-0.004624804030981021,-0.008774500523374806,"{'low': {'count': 33, 'correct': 11}, 'medium': {'count': 41, 'correct': 16}, 'high': {'count': 49, 'correct': 23}}",0.381316754344014,245.35915466307415,0,1,0.004309828807859594,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 1, 'all_negative_expectancy': True}",0.44202251031519324,0.0,"{0: 74, 1: 45, 2: 4}",0.0,0.4065040650406504,-15.003846907513815,1,"{'expectancy': np.float64(-245.35915466307415), 'avg_win': 0, 'avg_loss': np.float64(245.35915466307415), 'win_rate': 0.0, 'total_trades': 1}",1.0,0.5934959349593496,0,0.0,3
HDFCBANK.NS,0.43089430894308944,377.3685884602889,0.01647909589884444,0.016778971025830147,"{'low': {'count': 6, 'correct': 4}, 'medium': {'count': 40, 'correct': 11}, 'high': {'count': 77, 'correct': 38}}",0.4484610917537747,0,1132.1057653808666,0,0.010156797067068131,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 3, 'all_negative_expectancy': True}",0.5070107222811358,0.21739130434782608,"{0: 23, 1: 54, 2: 46}",inf,0.43089430894308944,-1.850657512718728,3,"{'expectancy': np.float64(377.3685884602889), 'avg_win': np.float64(377.3685884602889), 'avg_loss': 0, 'win_rate': 1.0, 'total_trades': 3}",1.0,0.5691056910569106,3,1.0,3
BHARTIARTL.NS,0.5934959349593496,1004.0093679199258,0.030476592669857607,0.036607028850477175,"{'low': {'count': 0, 'correct': 0}, 'medium': {'count': 9, 'correct': 5}, 'high': {'count': 114, 'correct': 68}}",0.4574017615176152,0,2008.0187358398516,0,0.003994920741136713,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 2, 'all_negative_expectancy': True}",0.5826110327218975,1.0,"{1: 121, 2: 2}",inf,0.5934959349593496,-0.8661419356695444,2,"{'expectancy': np.float64(1004.0093679199258), 'avg_win': np.float64(1004.0093679199258), 'avg_loss': 0, 'win_rate': 1.0, 'total_trades': 2}",1.0,0.4065040650406504,2,1.0,3
SBIN.NS,0.4065040650406504,63.66591835531002,0.002500074178451311,0.0005373691536565417,"{'low': {'count': 31, 'correct': 11}, 'medium': {'count': 44, 'correct': 20}, 'high': {'count': 48, 'correct': 19}}",0.4012092704300947,264.83149475097355,455.8292498169036,1,0.01062729715276106,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 3, 'all_negative_expectancy': True}",0.43359641198751164,0.25925925925925924,"{0: 12, 1: 57, 2: 54}",1.7212048372325548,0.4065040650406504,-4.784374612813964,3,"{'expectancy': np.float64(63.665918355309984), 'avg_win': np.float64(227.9146249084518), 'avg_loss': np.float64(264.83149475097355), 'win_rate': 0.6666666666666666, 'total_trades': 3}",1.0,0.5934959349593496,2,0.6666666666666666,3
ICICIBANK.NS,0.5528455284552846,0,,0,"{'low': {'count': 8, 'correct': 3}, 'medium': {'count': 43, 'correct': 22}, 'high': {'count': 72, 'correct': 43}}",0.4390719725233964,,,,0,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 0}",0.4153310104529617,0.0,"{0: 10, 1: 112, 2: 1}",0,0.5528455284552846,0,0,"{'expectancy': 0, 'avg_win': 0, 'avg_loss': 0, 'win_rate': 0}",1.0,0.44715447154471544,,0,3
TCS.NS,0.5121951219512195,2167.3319453125077,0.03931634489609233,0.04069019261091511,"{'low': {'count': 11, 'correct': 5}, 'medium': {'count': 42, 'correct': 19}, 'high': {'count': 70, 'correct': 39}}",0.4745377751740424,0,2167.3319453125077,0,0.001515399689003825,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 1, 'all_negative_expectancy': True}",0.5549162671113891,0.8,"{0: 27, 1: 91, 2: 5}",inf,0.5121951219512195,-0.8282448736196376,1,"{'expectancy': np.float64(2167.3319453125077), 'avg_win': np.float64(2167.3319453125077), 'avg_loss': 0, 'win_rate': 1.0, 'total_trades': 1}",1.0,0.4878048780487805,1,1.0,3
BAJFINANCE.NS,0.36585365853658536,0,,0,"{'low': {'count': 5, 'correct': 1}, 'medium': {'count': 26, 'correct': 10}, 'high': {'count': 92, 'correct': 34}}",0.33877202095851244,,,,0,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 0}",0.3172966931825652,0.0,"{0: 53, 1: 70}",0,0.36585365853658536,0,0,"{'expectancy': 0, 'avg_win': 0, 'avg_loss': 0, 'win_rate': 0}",1.0,0.6341463414634146,,0,3
LT.NS,0.5040650406504065,1283.7758681640662,0.049979808639117995,0.07426866765866746,"{'low': {'count': 25, 'correct': 7}, 'medium': {'count': 37, 'correct': 15}, 'high': {'count': 61, 'correct': 40}}",0.5490575634047656,0,3851.3276044921986,0,0.002319826470936241,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 3, 'all_negative_expectancy': True}",0.6029732868757259,0.48,"{0: 28, 1: 70, 2: 25}",inf,0.5040650406504066,0.3075252409750888,3,"{'expectancy': np.float64(1283.7758681640662), 'avg_win': np.float64(1283.7758681640662), 'avg_loss': 0, 'win_rate': 1.0, 'total_trades': 3}",0.9990592662276576,0.49499422557725115,3,1.0,3
HINDUNILVR.NS,0.3983739837398374,877.9309584960952,0.019107928204607924,0.014682945923753854,"{'low': {'count': 16, 'correct': 5}, 'medium': {'count': 52, 'correct': 17}, 'high': {'count': 55, 'correct': 27}}",0.42388012115415274,0,877.9309584960952,0,0.001263053249999939,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 1, 'all_negative_expectancy': True}",0.5594056630221474,0.1206896551724138,"{0: 5, 1: 60, 2: 58}",inf,0.3983739837398374,-3.2501638009777927,1,"{'expectancy': np.float64(877.9309584960952), 'avg_win': np.float64(877.9309584960952), 'avg_loss': 0, 'win_rate': 1.0, 'total_trades': 1}",1.0,0.6016260162601625,1,1.0,3
INFY.NS,0.5284552845528455,17.6405305175831,0.0003163011471986306,-0.0036198407873329064,"{'low': {'count': 27, 'correct': 8}, 'medium': {'count': 39, 'correct': 14}, 'high': {'count': 57, 'correct': 43}}",0.512742806513122,0,17.6405305175831,0,0.001775634777144005,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 1, 'all_negative_expectancy': True}",0.5038240540633254,0.35,"{0: 24, 1: 79, 2: 20}",inf,0.5284552845528455,-28.575408967718662,1,"{'expectancy': np.float64(17.6405305175831), 'avg_win': np.float64(17.6405305175831), 'avg_loss': 0, 'win_rate': 1.0, 'total_trades': 1}",1.0,0.4715447154471545,1,1.0,3
SUNPHARMA.NS,0.4878048780487805,0,,0,"{'low': {'count': 7, 'correct': 4}, 'medium': {'count': 37, 'correct': 15}, 'high': {'count': 79, 'correct': 41}}",0.48387974037933834,,,,0,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 0}",0.6569849620064827,1.0,"{0: 36, 1: 85, 2: 2}",0,0.48780487804878053,0,0,"{'expectancy': 0, 'avg_win': 0, 'avg_loss': 0, 'win_rate': 0}",1.0,0.5121951219512195,,0,3
MARUTI.NS,0.6016260162601627,-790.1014218749988,-0.02707737016887449,-0.018117472260285705,"{'low': {'count': 25, 'correct': 13}, 'medium': {'count': 40, 'correct': 19}, 'high': {'count': 58, 'correct': 42}}",0.6002996787724194,790.1014218749988,0,1,0.008920317973945349,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 1, 'all_negative_expectancy': True}",0.5991149531748483,0.4,"{0: 29, 1: 79, 2: 15}",0.0,0.6016260162601627,-9.795387244259032,1,"{'expectancy': np.float64(-790.1014218749988), 'avg_win': 0, 'avg_loss': np.float64(790.1014218749988), 'win_rate': 0.0, 'total_trades': 1}",1.0,0.39837398373983735,0,0.0,3
AXISBANK.NS,0.5934959349593496,1964.6775122070358,0.05258868289715702,0.037768096227627446,"{'low': {'count': 10, 'correct': 4}, 'medium': {'count': 36, 'correct': 20}, 'high': {'count': 77, 'correct': 49}}",0.5202739417053691,0,1964.6775122070358,0,0.0010270081215637038,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 1, 'all_negative_expectancy': True}",0.6150911242089724,1.0,"{0: 14, 1: 107, 2: 2}",inf,0.5934959349593496,-1.527755475940943,1,"{'expectancy': np.float64(1964.6775122070358), 'avg_win': np.float64(1964.6775122070358), 'avg_loss': 0, 'win_rate': 1.0, 'total_trades': 1}",1.0,0.4065040650406504,1,1.0,3
ITC.NS,0.6260162601626016,-823.9782222798631,-0.028949741042741995,-0.05569762815770529,"{'low': {'count': 30, 'correct': 10}, 'medium': {'count': 25, 'correct': 14}, 'high': {'count': 68, 'correct': 53}}",0.5915651967579583,2471.934666839589,0,3,0.029148674280052682,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 3, 'all_negative_expectancy': True}",0.5727371273712738,0.0,"{0: 12, 1: 100, 2: 11}",0.0,0.6260162601626016,-3.243655497547525,3,"{'expectancy': np.float64(-823.9782222798631), 'avg_win': 0, 'avg_loss': np.float64(823.9782222798631), 'win_rate': 0.0, 'total_trades': 3}",1.0,0.3739837398373984,0,0.0,3
ADANIPORTS.NS,0.35772357723577236,598.3421865234413,0.016935957319143335,0.009706881671039058,"{'low': {'count': 14, 'correct': 5}, 'medium': {'count': 43, 'correct': 23}, 'high': {'count': 66, 'correct': 16}}",0.34848758588595985,0,598.3421865234413,0,0.0009712136358764837,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 1, 'all_negative_expectancy': True}",0.5661942430235114,0.5,"{0: 84, 1: 37, 2: 2}",inf,0.35772357723577236,-6.0082627739909436,1,"{'expectancy': np.float64(598.3421865234413), 'avg_win': np.float64(598.3421865234413), 'avg_loss': 0, 'win_rate': 1.0, 'total_trades': 1}",1.0,0.6422764227642277,1,1.0,3
TITAN.NS,0.5040650406504065,540.7703341471384,0.020726499092939072,0.028144182186684352,"{'low': {'count': 24, 'correct': 12}, 'medium': {'count': 28, 'correct': 10}, 'high': {'count': 71, 'correct': 40}}",0.448206599713056,0,1622.3110024414154,0,0.005037213331168012,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 3, 'all_negative_expectancy': True}",0.44331342293014764,0.15,"{0: 5, 1: 98, 2: 20}",inf,0.5040650406504065,-1.2791005425925916,3,"{'expectancy': np.float64(540.7703341471384), 'avg_win': np.float64(540.7703341471384), 'avg_loss': 0, 'win_rate': 1.0, 'total_trades': 3}",1.0,0.49593495934959353,3,1.0,3
NTPC.NS,0.3252032520325203,-83.28219964599361,-0.003290813371079616,-0.0035032157650692897,"{'low': {'count': 16, 'correct': 8}, 'medium': {'count': 49, 'correct': 15}, 'high': {'count': 58, 'correct': 17}}",0.3090808874190437,83.28219964599361,0,1,0.006610844209176845,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 1, 'all_negative_expectancy': True}",0.30579060892649745,0.0,"{0: 49, 1: 71, 2: 3}",0.0,0.3252032520325203,-6.020269352404842,1,"{'expectancy': np.float64(-83.28219964599361), 'avg_win': 0, 'avg_loss': np.float64(83.28219964599361), 'win_rate': 0.0, 'total_trades': 1}",1.0,0.6747967479674797,0,0.0,3
KOTAKBANK.NS,0.5040650406504065,0,,0,"{'low': {'count': 3, 'correct': 2}, 'medium': {'count': 31, 'correct': 15}, 'high': {'count': 89, 'correct': 45}}",0.48449262270400484,,,,0,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 0}",0.47103658536585363,0.0,"{0: 48, 1: 75}",0,0.5040650406504065,0,0,"{'expectancy': 0, 'avg_win': 0, 'avg_loss': 0, 'win_rate': 0}",1.0,0.49593495934959353,,0,3
ONGC.NS,0.4715447154471545,0,,0,"{'low': {'count': 5, 'correct': 3}, 'medium': {'count': 39, 'correct': 16}, 'high': {'count': 79, 'correct': 39}}",0.4301552106430155,,,,0,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 0}",0.40140415140415137,0.0,"{0: 39, 1: 84}",0,0.4715447154471545,0,0,"{'expectancy': 0, 'avg_win': 0, 'avg_loss': 0, 'win_rate': 0}",1.0,0.5284552845528455,,0,3
ULTRACEMCO.NS,0.45528455284552843,-592.7519287109347,-0.02265685140721699,-0.041227753407933165,"{'low': {'count': 14, 'correct': 3}, 'medium': {'count': 29, 'correct': 15}, 'high': {'count': 80, 'correct': 38}}",0.4507803460280057,1778.2557861328041,0,3,0.020421609890197725,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 3, 'all_negative_expectancy': True}",0.4800549044451483,0.2,"{0: 6, 1: 77, 2: 40}",0.0,0.45528455284552843,-5.60278516950954,3,"{'expectancy': np.float64(-592.7519287109347), 'avg_win': 0, 'avg_loss': np.float64(592.7519287109347), 'win_rate': 0.0, 'total_trades': 3}",1.0,0.5447154471544715,0,0.0,3
HCLTECH.NS,0.4065040650406504,-1345.862558288572,-0.0390370576838876,-0.058617345245421504,"{'low': {'count': 30, 'correct': 9}, 'medium': {'count': 58, 'correct': 22}, 'high': {'count': 35, 'correct': 19}}",0.42966439675520224,2691.725116577144,0,2,0.02916939473206003,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 2, 'all_negative_expectancy': True}",0.4628427249789739,0.48,"{0: 40, 1: 58, 2: 25}",0.0,0.4065040650406504,-3.936489347258846,2,"{'expectancy': np.float64(-1345.862558288572), 'avg_win': 0, 'avg_loss': np.float64(1345.862558288572), 'win_rate': 0.0, 'total_trades': 2}",1.0,0.5934959349593496,0,0.0,3
BEL.NS,0.6097560975609756,0,,0,"{'low': {'count': 4, 'correct': 1}, 'medium': {'count': 7, 'correct': 7}, 'high': {'count': 112, 'correct': 67}}",0.4753332227199823,,,,0,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 0}",0.46233958207350667,0.0,"{0: 1, 1: 121, 2: 1}",0,0.6097560975609756,0,0,"{'expectancy': 0, 'avg_win': 0, 'avg_loss': 0, 'win_rate': 0}",1.0,0.3902439024390244,,0,3
ADANIENT.NS,0.37398373983739835,438.10160921224207,0.022991057589337227,0.02279679155066705,"{'low': {'count': 17, 'correct': 4}, 'medium': {'count': 42, 'correct': 12}, 'high': {'count': 64, 'correct': 30}}",0.3961968733911052,0,1314.3048276367263,0,0.005864383865030572,"{'optimal_threshold': 0.5, 'expected_return': 0, 'trade_count': 3, 'all_negative_expectancy': True}",0.47734800580329034,0.18181818181818182,"{0: 14, 1: 54, 2: 55}",inf,0.37398373983739835,-1.8350373564259985,3,"{'expectancy': np.float64(438.10160921224207), 'avg_win': np.float64(438.10160921224207), 'avg_loss': 0, 'win_rate': 1.0, 'total_trades': 3}",0.9990592662276576,0.6250755263902592,3,1.0,3
